Longitude,Latitude,Counts
120.8851806,31.1196,2805
120.89386,31.10151,1955
120.8938611,31.1015111,861
120.9003611,31.0886111,581
120.90879,31.03011,2082
120.90928,31.07602,484
120.90934,31.09944,581
120.9124194,31.0396611,2146
120.9150694,31.1202111,1865
120.91564,31.02662,5025
120.9179694,31.06525,1018
120.92033,31.11751,18176
120.9203306,31.1175111,314
120.92551,31.12262,1047
120.9366194,31.07435,423
120.9467889,31.0761,91
120.9509389,31.079,554
120.95858,31.05209,1139
120.9599194,31.0687111,1670
120.9766306,31.0845,933
120.9798611,31.0230611,997
120.9865389,31.0518195,1019
120.9887806,30.8988889,964
120.99716,31.0385,412
120.9975,31.07585,522
120.9982389,31.0958611,217
121.0038889,31.1125195,309
121.0040389,30.88685,2307
121.00881,31.00013,1029
121.00881,31.00013001,995
121.0091,30.97968,1170
121.00948,30.90633001,32
121.0097306,31.1239195,636
121.01061,30.91202,923
121.011806,31.108212,651
121.0132389,30.8985111,2364
121.01337,30.89812001,46
121.01374,30.84971,954
121.01374,30.84971001,3923
121.01386,30.92339,38
121.0138611,30.9233889,1
121.0153306,30.9253695,1234
121.01773,30.88389,879
121.01773,30.88389001,901
121.0177306,30.8838889,950
121.01915,30.8950695,1819
121.01973,31.00105,466
121.0197306,31.00105,242
121.02008,31.14007,1519
121.02008,31.14007001,513
121.0203,30.9501,910
121.0208806,30.9718389,987
121.0228111,30.9775306,943
121.0282389,31.10425,470
121.02855,30.8355389,668
121.02855,30.83554001,180
121.02972,31.03773,12985
121.031,30.86410001,791
121.03113,30.86412,611
121.03234,31.11761,2313
121.0333111,31.0771389,179
121.0339111,31.0491695,607
121.0343,30.87308001,488
121.03676,31.09564,524
121.03875,30.89979,1370
121.03875,30.89979001,2177
121.03899,31.09562,3690
121.03914,30.93545,696
121.0406889,30.8851806,1239
121.04069,30.88518001,250
121.0410111,31.0056306,1333
121.04147,31.10812,31
121.04214,31.10568,348
121.0423389,31.0136889,1889
121.04295,30.97919,2586
121.04325,31.13111,3475
121.0444306,30.9596806,263
121.0461806,30.9167889,202
121.04645,30.85983,246
121.04842,30.88748001,31
121.0486806,30.9460611,190
121.051,30.84499001,227
121.0511,30.86074001,119
121.0524306,31.1048111,941
121.05266,31.07775,2044
121.0527111,31.1091806,2093
121.05347,31.08671,752
121.05456,31.14403,2374
121.05456,31.14403001,581
121.05597,30.99758,300
121.05872,31.12535,481
121.0595194,31.1163111,875
121.05952,31.11631,3280
121.0609,30.8649,1453
121.0609,30.86490001,501
121.0614,31.07595,881
121.06361,30.93631001,1124
121.06379,30.93783,1412
121.06389,31.01021,569
121.06389,31.01021001,972
121.0639806,30.9172611,280
121.0645,30.90273,2365
121.0645,30.9027306,344
121.06494,30.89306001,35
121.06617,31.24502001,1377
121.0664,31.0584611,370
121.0670611,31.0338306,565
121.0697,31.22145,3852
121.07019,31.038133,148
121.07019,31.03813301,88
121.07087,31.26946,535
121.07105,31.26976001,207
121.07153,31.10987,1150
121.0722306,30.9861389,1365
121.07304,30.97007001,613
121.07323,31.18759001,134
121.0732306,31.1875889,4797
121.0743194,30.9604389,81
121.0743889,31.2047806,1317
121.07555,30.94751,1274
121.07555,30.94751001,1294
121.07562,31.26291,4560
121.07562,31.26291001,3686
121.07702,30.93534,4
121.0777194,30.9302195,780
121.07793,30.89246001,385
121.08181,30.89409001,184
121.0818111,30.8940889,188
121.08192,30.86088001,310
121.0819889,31.1537806,4940
121.08222,31.23250001,2425
121.08222,31.23258,1386
121.0825,31.25528001,2855
121.08258,31.25541,2229
121.0834111,30.8765889,2351
121.0835497,30.87534694,12
121.0835497,30.87534695,1598
121.08388,31.28027001,8317
121.08411,31.28027,3115
121.08414,30.99121,675
121.08433,30.91781001,1809
121.0843306,30.9178111,138
121.08583,31.03682,9
121.08633,31.09448,632
121.0867611,31.1301889,2627
121.08824,31.18755,69
121.088698,31.15772001,2070
121.0887,31.16082001,11747
121.0893611,30.9696889,463
121.08974,31.24215001,581
121.08987,31.24117,345
121.0903,30.93601,499
121.0903,30.9360111,558
121.09038,31.19462,1285
121.09138,31.12243,582
121.09138,31.12243001,7633
121.09148,30.86316001,461
121.0919,31.17495,28
121.09215,31.2127,4622
121.09328,30.90530001,49
121.09363,31.14557,2693
121.09568,31.17397,24
121.09621,30.94249,659
121.09632,31.24965001,3131
121.09635,31.13657,19
121.09637,31.25263,4061
121.0973694,31.1736806,1762
121.0976889,30.9905389,176
121.09769,30.99054,2126
121.09769,30.99054001,164
121.0984111,31.1674111,1172
121.0988194,30.9516889,649
121.0990861,31.1560361,4836
121.09975,31.17170001,355
121.09978,31.19037,2293
121.10072,30.85910001,74
121.1017111,31.0669195,1006
121.1018694,30.9153111,290
121.10187,30.91531001,372
121.10312,31.05235,7225
121.1032306,31.1462111,629
121.10545,31.13902001,1485
121.1055,31.25729,976
121.1066306,31.1480306,1875
121.1066694,31.0043389,157
121.10682,31.27898,506
121.10682,31.27898001,5072
121.10725,31.0298389,1918
121.1077806,31.1540611,1232
121.108,31.2302,3434
121.10813,31.23017001,4548
